medallion, hack_license, vendor_id, pickup_datetime, payment_type, fare_amount, surcharge, mta_tax, tip_amount, tolls_amount, total_amount
F73480CC6FCF4DC8F4053AA3167295D5,91D4BA40B33DF102C97B3AFC98864BEF,VTS,2013-01-13 09:32:00,CSH,7,0,0.5,0,0,7.5
55CC919C6D6F59FA2AAAB21DF39C6147,40327757D1BDC94994B155A50FC57C18,VTS,2013-01-13 09:31:00,CSH,5.5,0,0.5,0,0,6
BB3B57F044D80FBAAA61770A0E706258,02E92727EF15A106B1FCE686629DE043,VTS,2013-01-13 03:45:00,CRD,10.5,0.5,0.5,2.75,0,14.25
113C86713C13307246CB77DB753B339E,BB4B1645ECEBC8E8B90835F631F81332,VTS,2013-01-13 03:53:00,CSH,8.5,0.5,0.5,0,0,9.5
5323FDDAC1521DDC5F56A18A5FA7474F,9161984C38EA70021BEAC44D6831CCDF,VTS,2013-01-13 03:49:00,CSH,13,0.5,0.5,0,0,14
E6735846B5CECD023E387DBF70DF3E2D,59D6ADB6F50251EE82435F8C96332C31,VTS,2013-01-13 03:56:00,CRD,7,0.5,0.5,1.5,0,9.5
02E517E0C958416296416C6F4CDABB33,FE23B48418C3CE8B22A0D821C85D6A31,VTS,2013-01-13 03:50:00,CSH,8,0.5,0.5,0,0,9
CCFBDD9523B3547041894CE4EEFB6A88,846347BB499962B65A1AFEC89B32B23A,VTS,2013-01-13 03:50:00,CRD,9,0.5,0.5,2.38,0,12.38
C6C2AA4F89E3C1ED8B58FFC7AE6D931C,F49FD0D84449AE7F72F3BC492CD6C754,VTS,2013-01-13 03:56:00,CRD,8,0.5,0.5,1.7,0,10.7
BC80F0D571255E123E2026B6796D0C31,0BE75C352825AE8C6F3279D65F74E45B,VTS,2013-01-13 04:32:00,CRD,33.5,0.5,0.5,15,0,49.5
A72DE97AA990D4FDE12D1C51B1E84036,630BD9A51372BEBA877C2840B3FF014F,VTS,2013-01-13 04:29:00,CRD,31,0.5,0.5,6.3,0,38.3
95A3E44AB43E96ED82DB16A6D118D33A,27C7280C12DB0F7753E1DA1A869160FE,VTS,2013-01-13 04:54:00,CSH,5,0.5,0.5,0,0,6
D22FDB926D6B574416DFDC9D645020AE,7866C9D26FC537A1248ACF94196C5DE2,VTS,2013-01-13 04:58:00,CSH,5.5,0.5,0.5,0,0,6.5
8F30FFCCF85BA59647CBB745789E2EB4,E53F58E5BA8AA63CB2C1F2577AC1F97A,VTS,2013-01-13 04:33:00,CSH,32.5,0.5,0.5,0,0,33.5
FC33D28148829383E2501520F7FDBF00,044F2AA8CF3B079DA41F81AEDC415C29,VTS,2013-01-13 04:32:00,CSH,35,0.5,0.5,0,4.8,40.8
77BCDB68290B5FE0F044A7157E3F69D3,59DB94FBFEBBC7B08BFFF72455449559,VTS,2013-01-02 16:23:00,CSH,8.5,1,0.5,0,0,10
05A2592466AB832E2A8038DF66521671,0FEC221DFC2A9F1DF53781FB81E3720B,VTS,2013-01-13 04:38:00,CSH,19,0.5,0.5,0,0,20
AEEF59F8EBF2835331D117D6EBA78643,82BB8935FAE0D11A79274C7AF15E3429,VTS,2013-01-13 04:49:00,CSH,8.5,0.5,0.5,0,0,9.5
4D3DDD6973BACE91587C7CD79983BC4F,386CB62371C5CED8205E5C51E2E3BBDD,VTS,2013-01-13 04:56:00,CSH,3,0.5,0.5,0,0,4
C48A03519EC9BC3784F4323704B22572,792586C00751791CE8F1A3D70F32B6A5,VTS,2013-01-13 04:47:00,CSH,13.5,0.5,0.5,0,0,14.5
E63F7CDFDE21D0884C6E73DF45BA661B,48064F00C86B98DC87222FEA1B526FC6,VTS,2013-01-13 04:48:00,CSH,11.5,0.5,0.5,0,0,12.5
10EDCAC95129995AD303C2B0384805A7,FE3558523A4226F612358EB02C1A7C6E,VTS,2013-01-13 04:58:00,CSH,2.5,0.5,0.5,0,0,3.5
4FD9F16B9D63993965B3E374E216B08B,6C9DEFE28A38A0F393D66C7FCB7EFB3C,VTS,2013-01-13 04:57:00,CRD,10.5,0.5,0.5,1.5,0,13
A5179D5A72336EEDFDF90C60CAE1EA6F,CF60B7EA381C66092FC1AC19D67B2D30,VTS,2013-01-13 04:57:00,CRD,8,0.5,0.5,1,0,10
33E72FD3FB448499AAB5672CA571CE09,2C950F220AFB46EDB83D7D6F0478B32D,VTS,2013-01-13 04:58:00,CRD,7.5,0.5,0.5,1.5,0,10
